genes,Description
Nbe.v1.s00010g05690,-
Nbe.v1.s00010g05700,-
Nbe.v1.s00010g05710,-
Nbe.v1.s00010g05720,-
Nbe.v1.s00010g05730,Plant transposase (Ptta/En/Spm family)
Nbe.v1.s00010g05740,Domain of unknown function (DUF4216)
Nbe.v1.s00010g05750,Alkaline neutral invertase CINV2-like
Nbe.v1.s00010g05760,Belongs to the 'GDSL' lipolytic enzyme family
Nbe.v1.s00010g05770,"Protein present in Fab1, YOTB, Vac1, and EEA1"
Nbe.v1.s00010g05780,Glutathione S-transferase N-terminal domain
Nbe.v1.s00010g05790,-
Nbe.v1.s00010g05840,-
Nbe.v1.s00010g05850,GAG-pre-integrase domain
Nbe.v1.s00010g05880,Zinc finger CCHC domain-containing protein 10-like
Nbe.v1.s00010g05890,Receptor protein kinase CLAVATA1
Nbe.v1.s00010g05920,NAC transcription factor
Nbe.v1.s00010g05930,Calmodulin binding protein-like
Nbe.v1.s00010g05950,-
Nbe.v1.s00010g05960,Belongs to the 'GDSL' lipolytic enzyme family
Nbe.v1.s00010g05970,Ring finger protein
Nbe.v1.s00010g05980,Chromo (CHRromatin Organisation MOdifier) domain
Nbe.v1.s00010g05990,DNA RNA polymerases superfamily protein
Nbe.v1.s00010g06000,DNA RNA polymerases superfamily protein
Nbe.v1.s00010g06010,pre-mRNA splicing factor component
Nbe.v1.s00010g06015,pre-mRNA splicing factor component
Nbe.v1.s00010g06020,cell division cycle
Nbe.v1.s00010g06030,pre-mRNA splicing factor component
Nbe.v1.s00010g06060,RNase H family protein
Nbe.v1.s00010g06070,Ribonuclease H protein
Nbe.v1.s00010g06080,KR domain
Nbe.v1.s00010g06090,GDSL-like Lipase/Acylhydrolase
Nbe.v1.s00010g06100,GDSL-like Lipase/Acylhydrolase
Nbe.v1.s00010g06110,Subtilisin-like protease
Nbe.v1.s00010g06120,La-related protein 1C-like
Nbe.v1.s00010g06130,Belongs to the UDP-glycosyltransferase family
Nbe.v1.s00010g06140,Glycine cleavage H-protein
Nbe.v1.s00010g06150,"Removal of H(2)O(2), oxidation of toxic reductants, biosynthesis and degradation of lignin, suberization, auxin catabolism, response to environmental stresses such as wounding, pathogen attack and oxidative stress"
Nbe.v1.s00010g06160,Rare lipoprotein A (RlpA)-like double-psi beta-barrel
Nbe.v1.s00010g06170,Alba
Nbe.v1.s00010g06180,-
Nbe.v1.s00010g06200,isoform X1
Nbe.v1.s00010g06220,E3 ubiquitin-protein ligase ATL23-like
Nbe.v1.s00010g06230,DNA recombination
Nbe.v1.s00010g06240,Thioredoxin-like
Nbe.v1.s00010g06250,Calcium-dependent protein kinase
Nbe.v1.s00010g06260,Pseudouridine synthase
Nbe.v1.s00010g06270,Prolyl 4-hydroxylase alpha subunit homologues.
Nbe.v1.s00010g06280,ATP binding
Nbe.v1.s00010g06290,Belongs to the complex I LYR family
Nbe.v1.s00010g06310,-
Nbe.v1.s00010g06320,Pentatricopeptide repeat-containing protein
Nbe.v1.s00010g06350,At1g76070-like
Nbe.v1.s00010g06360,-
Nbe.v1.s00010g06370,Thioredoxin
Nbe.v1.s00010g06380,Major Facilitator Superfamily
Nbe.v1.s00010g06390,F-Box protein
Nbe.v1.s00010g06400,Hydrolyzes glycerol-phospholipids at the terminal phosphodiesteric bond
Nbe.v1.s00010g06410,Participates in electron transfer between P700 and the cytochrome b6-f complex in photosystem I
Nbe.v1.s00010g06420,DNL zinc finger
Nbe.v1.s00010g06440,Belongs to the Orn Lys Arg decarboxylase class-II family
Nbe.v1.s00010g06460,Mechanosensitive ion channel protein 6-like
Nbe.v1.s00010g06470,Divergent CRAL/TRIO domain
Nbe.v1.s00010g06480,Protein of unknown function (DUF295)
Nbe.v1.s00010g06490,tRNA pseudouridine synthase
Nbe.v1.s00010g06500,Belongs to the glycosyl hydrolase 13 family
Nbe.v1.s00010g06510,Rop guanine nucleotide exchange factor
Nbe.v1.s00010g06520,"Prolyl oligopeptidase, N-terminal beta-propeller domain"
Nbe.v1.s00010g06530,"Prolyl oligopeptidase, N-terminal beta-propeller domain"
Nbe.v1.s00010g06540,tRNA pseudouridine synthase
Nbe.v1.s00010g06550,MaoC like domain
Nbe.v1.s00010g06560,Multicopper oxidase
Nbe.v1.s00010g06600,-
Nbe.v1.s00010g06610,Ubiquitin-2 like Rad60 SUMO-like
Nbe.v1.s00010g06620,Retrotransposon gag protein
Nbe.v1.s00010g06630,DNA RNA polymerases superfamily protein
Nbe.v1.s00010g06640,Dehydrin
Nbe.v1.s00010g06660,Lysine histidine
Nbe.v1.s00010g06680,Arabidopsis protein of unknown function
Nbe.v1.s00010g06700,Encoded by
Nbe.v1.s00010g06720,"ATP-dependent zinc metalloprotease FTSH, chloroplastic"
Nbe.v1.s00010g06730,serine threonine-protein kinase At4g35230
Nbe.v1.s00010g06740,RNA polymerase I-specific transcription initiation factor
Nbe.v1.s00010g06750,-
Nbe.v1.s00010g06760,-
Nbe.v1.s00010g06780,WD40 repeats
Nbe.v1.s00010g06790,Protein of unknown function (DUF760)
Nbe.v1.s00010g06800,Pentatricopeptide repeat-containing protein
Nbe.v1.s00010g06810,AARP2CN (NUC121) domain
Nbe.v1.s00010g06830,Zn_pept
Nbe.v1.s00010g06840,Transferase family
Nbe.v1.s00010g06860,GRF zinc finger
Nbe.v1.s00010g06870,-
Nbe.v1.s00010g06880,Glycosyltransferase like family 2
Nbe.v1.s00010g06890,"Alpha amylase, C-terminal all-beta domain"
Nbe.v1.s00010g06900,F5/8 type C domain
Nbe.v1.s00010g06910,Belongs to the cyclin family
Nbe.v1.s00010g06920,RING-type E3 ubiquitin transferase
Nbe.v1.s00010g06930,RING-type E3 ubiquitin transferase
Nbe.v1.s00010g06940,-
Nbe.v1.s00010g06950,Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide
Nbe.v1.s00010g06960,"WD domain, G-beta repeat"
Nbe.v1.s00010g06970,Serpin (serine protease inhibitor)
Nbe.v1.s00010g06980,RWP-RK domain
Nbe.v1.s00010g06990,Sterol-sensing domain of SREBP cleavage-activation
Nbe.v1.s00010g07010,Serine threonine-protein kinase
Nbe.v1.s00010g07020,Protein kinase domain
Nbe.v1.s00010g07030,Glycosyltransferase family 92
Nbe.v1.s00010g07040,Glycosyltransferase family 92
Nbe.v1.s00010g07050,bromodomain-containing protein
Nbe.v1.s00010g07060,trichome birefringence-like 6
Nbe.v1.s00010g07070,Transport and Golgi organisation 2
Nbe.v1.s00010g07090,Eps15 homology domain
Nbe.v1.s00010g07100,RING-type E3 ubiquitin transferase
Nbe.v1.s00010g07120,Casein Kinase 2 substrate
Nbe.v1.s00010g07160,-
Nbe.v1.s00010g07170,-
Nbe.v1.s00010g07180,-
Nbe.v1.s00010g07190,"tRNA synthetases class II (D, K and N)"
Nbe.v1.s00010g07200,Serine threonine-protein kinase endoribonuclease
Nbe.v1.s00010g07210,Glutamate-gated receptor that probably acts as non- selective cation channel
Nbe.v1.s00010g07240,F-box-like
Nbe.v1.s00010g07260,RING-type E3 ubiquitin transferase
Nbe.v1.s00010g07280,Belongs to the DHHC palmitoyltransferase family
Nbe.v1.s00010g07290,peptidyl-prolyl cis-trans isomerase
Nbe.v1.s00010g07300,Essential subunit of the N-oligosaccharyl transferase (OST) complex which catalyzes the transfer of a high mannose oligosaccharide from a lipid-linked oligosaccharide donor to an asparagine residue within an Asn-X-Ser Thr consensus motif in nascent polypeptide chains
Nbe.v1.s00010g07310,Outer envelope pore protein
Nbe.v1.s00010g07320,RING-H2 finger protein
Nbe.v1.s00010g07340,MutL C terminal dimerisation domain
Nbe.v1.s00010g07350,DNA mismatch repair protein
Nbe.v1.s00010g07360,ATPase family associated with various cellular activities (AAA)
Nbe.v1.s00010g07370,thiamine pyrophosphokinase
Nbe.v1.s00010g07380,ATPase family associated with various cellular activities (AAA)
Nbe.v1.s00010g07390,Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Nbe.v1.s00010g07410,No apical meristem (NAM) protein
Nbe.v1.s00010g07420,Belongs to the peptidase C1 family
Nbe.v1.s00010g07440,synthase
Nbe.v1.s00010g07460,positive regulation of acetylcholine metabolic process
Nbe.v1.s00010g07470,Belongs to the small heat shock protein (HSP20) family
Nbe.v1.s00010g07480,-
Nbe.v1.s00010g07490,Belongs to the small heat shock protein (HSP20) family
Nbe.v1.s00010g07510,-
Nbe.v1.s00010g07520,Domain of unknown function (DUF4499)
Nbe.v1.s00010g07540,Domain of unknown function (DUF296)
Nbe.v1.s00010g07550,Protection of telomeres
Nbe.v1.s00010g07560,SWIRM domain
Nbe.v1.s00010g07590,Class I glutamine amidotransferase-like superfamily protein
Nbe.v1.s00010g07600,RNA recognition motif
Nbe.v1.s00010g07610,Cinnamoyl-CoA reductase
Nbe.v1.s00010g07630,Cinnamoyl-CoA reductase
Nbe.v1.s00010g07650,A reductase
Nbe.v1.s00010g07670,-
Nbe.v1.s00010g07680,Transcription factor that specifically binds AT-rich DNA sequences related to the nuclear matrix attachment regions (MARs)
Nbe.v1.s00010g07690,domain-containing protein
Nbe.v1.s00010g07710,Membrane transport protein
Nbe.v1.s00010g07720,Belongs to the protein kinase superfamily
Nbe.v1.s00010g07730,protein FAR1-RELATED SEQUENCE
Nbe.v1.s00010g07740,protein FAR1-RELATED SEQUENCE
Nbe.v1.s00010g07770,Cell division cycle protein 27 homolog
Nbe.v1.s00010g07800,Pentatricopeptide repeat-containing protein
Nbe.v1.s00010g07810,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00010g07820,Regulatory subunit of pyrophosphate--fructose 6- phosphate 1-phosphotransferase
Nbe.v1.s00010g07830,bZIP transcription factor
Nbe.v1.s00010g07860,Zinc finger C-x8-C-x5-C-x3-H type (and similar)
Nbe.v1.s00010g07870,Mad3/BUB1 hoMad3/BUB1 homology region 1
Nbe.v1.s00010g07880,Plant non-specific lipid-transfer proteins transfer phospholipids as well as galactolipids across membranes. May play a role in wax or cutin deposition in the cell walls of expanding epidermal cells and certain secretory tissues
Nbe.v1.s00010g07890,"The light-harvesting complex (LHC) functions as a light receptor, it captures and delivers excitation energy to photosystems with which it is closely associated"
Nbe.v1.s00010g07900,C1 domain
Nbe.v1.s00010g07920,Glycosyl transferase family 2
Nbe.v1.s00010g07930,PLATZ transcription factor
Nbe.v1.s00010g07940,Ribonuclease H protein
Nbe.v1.s00010g07970,glycine rich nucleic binding domain
Nbe.v1.s00010g07980,Uncharacterized protein K02A2.6-like
Nbe.v1.s00010g07990,Domain of unknown function (DUF4228)
Nbe.v1.s00010g08000,Glycosyltransferase family 10 (fucosyltransferase) C-term
Nbe.v1.s00010g08010,-
Nbe.v1.s00010g08030,Protein of unknown function (DUF1685)
Nbe.v1.s00010g08060,-
Nbe.v1.s00010g08080,"methylcrotonoyl-CoA carboxylase beta chain, mitochondrial"
Nbe.v1.s00010g08090,Thioredoxin
Nbe.v1.s00010g08100,OST-HTH/LOTUS domain
Nbe.v1.s00010g08110,Phosphotransferase enzyme family
Nbe.v1.s00010g08130,PI-PLC X domain-containing protein
Nbe.v1.s00010g08140,Belongs to the TrpA family
Nbe.v1.s00010g08150,ABC-2 type transporter
Nbe.v1.s00010g08160,Uncharacterized protein K02A2.6-like
Nbe.v1.s00010g08170,Uncharacterized protein K02A2.6-like
Nbe.v1.s00010g08180,"transposition, RNA-mediated"
Nbe.v1.s00010g08190,-
Nbe.v1.s00010g08200,GAG-pre-integrase domain
Nbe.v1.s00010g08210,Transcription factor
Nbe.v1.s00010g08220,Ring finger domain
Nbe.v1.s00010g08230,Glycosyl hydrolase family 10
Nbe.v1.s00010g08250,DDE superfamily endonuclease
Nbe.v1.s00010g08270,Phospho-2-dehydro-3-deoxyheptonate aldolase
Nbe.v1.s00010g08280,caffeoyl-CoA O-methyltransferase
Nbe.v1.s00010g08290,Wax ester synthase-like Acyl-CoA acyltransferase domain
Nbe.v1.s00010g08300,"Filament-like plant protein, long coiled-coil"
Nbe.v1.s00010g08310,"Quinone-oxidoreductase homolog, chloroplastic"
Nbe.v1.s00010g08320,isoform X1
Nbe.v1.s00010g08340,E3 ubiquitin ligase SUD1 isoform X1
Nbe.v1.s00010g08350,Binds the poly(A) tail of mRNA
Nbe.v1.s00010g08360,Domain in cystathionine beta-synthase and other proteins.
Nbe.v1.s00010g08370,UDP-glucoronosyl and UDP-glucosyl transferase
Nbe.v1.s00010g08380,Belongs to the UDP-glycosyltransferase family
Nbe.v1.s00010g08390,Belongs to the UDP-glycosyltransferase family
Nbe.v1.s00010g08400,Belongs to the UDP-glycosyltransferase family
Nbe.v1.s00010g08410,Belongs to the UDP-glycosyltransferase family
Nbe.v1.s00010g08430,Belongs to the UDP-glycosyltransferase family
Nbe.v1.s00010g08450,Polysaccharide biosynthesis
Nbe.v1.s00010g08460,Belongs to the peptidase C1 family
Nbe.v1.s00010g08470,C2 domain of PTEN tumour-suppressor protein
Nbe.v1.s00010g08480,Protein kinase C conserved region 2 (CalB)
Nbe.v1.s00010g08500,Belongs to the cyclin family
Nbe.v1.s00010g08520,Root cap
Nbe.v1.s00010g08530,Putative cyclase
Nbe.v1.s00010g08540,Leucine Rich Repeat
Nbe.v1.s00010g08560,Stress enhanced protein 1
Nbe.v1.s00010g08570,Leucine rich repeat N-terminal domain
Nbe.v1.s00010g08580,-
Nbe.v1.s00010g08600,Cell division cycle protein
Nbe.v1.s00010g08610,Protein of unknown function (DUF3611)
Nbe.v1.s00010g08620,Reticulon-like protein
Nbe.v1.s00010g08630,Protein of unknown function (DUF1168)
Nbe.v1.s00010g08640,UNC-50 family
Nbe.v1.s00010g08670,Pseudouridine synthase
Nbe.v1.s00010g08710,Methylthioribose kinase
Nbe.v1.s00010g08720,Peptidase of plants and bacteria
Nbe.v1.s00010g08730,RNase H family protein
Nbe.v1.s00010g08740,Reverse transcriptase-like
Nbe.v1.s00010g08750,Peptidase of plants and bacteria
Nbe.v1.s00010g08780,Peptidase of plants and bacteria
Nbe.v1.s00010g08800,Deoxycytidyl transferase involved in DNA repair. Transfers a dCMP residue from dCTP to the 3'-end of a DNA primer in a template-dependent reaction. May assist in the first step in the bypass of abasic lesions by the insertion of a nucleotide opposite the lesion. Required for normal induction of mutations by physical and chemical agents
Nbe.v1.s00010g08810,helix loop helix domain
Nbe.v1.s00010g08820,Belongs to the complex I LYR family
Nbe.v1.s00010g08830,-
Nbe.v1.s00010g08840,"Glycosyl hydrolase family 65, N-terminal domain"
Nbe.v1.s00010g08860,-
Nbe.v1.s00010g08870,"transposition, RNA-mediated"
Nbe.v1.s00010g08890,"transposition, RNA-mediated"
Nbe.v1.s00010g08900,"transposition, RNA-mediated"
Nbe.v1.s00010g08910,Uncharacterized protein K02A2.6-like
Nbe.v1.s00010g08920,zinc finger
Nbe.v1.s00010g08930,TIP41-like family
Nbe.v1.s00010g08940,Homeobox KN domain
Nbe.v1.s00010g08950,GH3 auxin-responsive promoter
Nbe.v1.s00010g08960,Protein of unknown function (DUF760)
Nbe.v1.s00010g08970,occurring C-terminal to leucine-rich repeats
Nbe.v1.s00010g08980,Protein of unknown function (DUF620)
Nbe.v1.s00010g08990,Classical arabinogalactan protein
Nbe.v1.s00010g09000,"SWI complex, BAF60b domains"
Nbe.v1.s00010g09010,Protein phosphatase 2C
Nbe.v1.s00010g09030,RING-like zinc finger
Nbe.v1.s00010g09040,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00010g09050,RING-like zinc finger
Nbe.v1.s00010g09060,Late embryogenesis abundant protein
Nbe.v1.s00010g09070,-
Nbe.v1.s00010g09080,mTERF
Nbe.v1.s00010g09090,Leucine rich repeat N-terminal domain
Nbe.v1.s00010g09100,Mpv17 / PMP22 family
Nbe.v1.s00010g09110,"Transcriptional regulator of RNA polII, SAGA, subunit"
Nbe.v1.s00010g09120,gag-polypeptide of LTR copia-type
Nbe.v1.s00010g09130,QWRF family
Nbe.v1.s00010g09150,LOB domain-containing protein
Nbe.v1.s00010g09180,Belongs to the NPH3 family
Nbe.v1.s00010g09190,-
Nbe.v1.s00010g09200,-
Nbe.v1.s00010g09210,-
Nbe.v1.s00010g09220,Zinc finger protein
Nbe.v1.s00010g09230,-
Nbe.v1.s00010g09270,zinc-binding in reverse transcriptase
Nbe.v1.s00010g09290,WD40 repeats
Nbe.v1.s00010g09300,Zinc finger protein-like 1
Nbe.v1.s00010g09320,helix loop helix domain
Nbe.v1.s00010g09330,Complement Clr-like EGF-like
Nbe.v1.s00010g09340,Plant protein of unknown function (DUF936)
Nbe.v1.s00010g09350,Plant protein of unknown function (DUF936)
Nbe.v1.s00010g09360,-
Nbe.v1.s00010g09370,acetyltransferase At3g50280-like
Nbe.v1.s00010g09380,4Fe-4S single cluster domain
Nbe.v1.s00010g09400,-
Nbe.v1.s00010g09420,DNA-directed DNA polymerase activity
Nbe.v1.s00010g09430,impB/mucB/samB family
Nbe.v1.s00010g09440,Glycosyl hydrolase family 10
Nbe.v1.s00010g09470,Glycosyl hydrolase family 10
Nbe.v1.s00010g09480,nucleobase-ascorbate transporter
Nbe.v1.s00010g09490,-
Nbe.v1.s00010g09500,Domain in histone families 1 and 5
Nbe.v1.s00010g09520,Permease family
Nbe.v1.s00010g09530,Glycosyl hydrolase family 10
Nbe.v1.s00010g09540,Permease family
Nbe.v1.s00010g09550,Permease family
Nbe.v1.s00010g09560,-
Nbe.v1.s00010g09570,magnesium transporter
Nbe.v1.s00010g09580,magnesium transporter
Nbe.v1.s00010g09590,Agamous-like MADS-box protein AGL62
Nbe.v1.s00010g09600,Agamous-like MADS-box protein AGL62
Nbe.v1.s00010g09610,-
Nbe.v1.s00010g09620,amino acid
Nbe.v1.s00010g09630,amino acid
Nbe.v1.s00010g09640,"zinc metallopeptidase EGY3, chloroplastic"
Nbe.v1.s00010g09660,RNA methyltransferase
Nbe.v1.s00010g09690,Belongs to the pyruvate kinase family
Nbe.v1.s00010g09700,Fkbp-rapamycin associated protein
Nbe.v1.s00010g09720,-
Nbe.v1.s00010g09730,GAD domain
Nbe.v1.s00010g09740,cysteine-rich RLK (RECEPTOR-like protein kinase) 8
Nbe.v1.s00010g09750,Belongs to the CRISP family
Nbe.v1.s00010g09760,"Catalyzes xyloglucan endohydrolysis (XEH) and or endotransglycosylation (XET). Cleaves and religates xyloglucan polymers, an essential constituent of the primary cell wall, and thereby participates in cell wall construction of growing tissues"
Nbe.v1.s00010g09770,-
Nbe.v1.s00010g09780,Protein of unknown function (DUF1005)
Nbe.v1.s00010g09790,MADS
Nbe.v1.s00010g09800,Agamous-like MADS-box protein AGL62
Nbe.v1.s00010g09810,Agamous-like MADS-box protein AGL62
Nbe.v1.s00010g09820,transcription regulatory region sequence-specific DNA binding
Nbe.v1.s00010g09830,transcription regulatory region sequence-specific DNA binding
Nbe.v1.s00010g09840,Domain of unknown function (DUF4283)
Nbe.v1.s00010g09850,Belongs to the CRISP family
Nbe.v1.s00010g09860,Belongs to the CRISP family
Nbe.v1.s00010g09880,Ribonuclease H protein
Nbe.v1.s00010g09890,PMR5 N terminal Domain
Nbe.v1.s00010g09900,At3g49720-like
Nbe.v1.s00010g09910,Domain of unknown function DUF21
Nbe.v1.s00010g09920,-
Nbe.v1.s00010g09930,-
Nbe.v1.s00010g09940,Pre-mRNA-splicing factor cwc-22
Nbe.v1.s00010g09950,MIF4G domain-containing protein MA3 domain-containing protein
Nbe.v1.s00010g09960,Protein of unknown function (DUF295)
Nbe.v1.s00010g09970,Receptor-like protein kinase HAIKU2
Nbe.v1.s00010g09980,3'-5'-exoribonuclease that specifically recognizes RNAs polyuridylated at their 3' end and mediates their degradation. Component of an exosome-independent RNA degradation pathway that mediates degradation of cytoplasmic mRNAs that have been deadenylated and subsequently uridylated at their 3'
Nbe.v1.s00010g10000,Malate dehydrogenase
Nbe.v1.s00010g10010,-
Nbe.v1.s00010g10020,helix loop helix domain
Nbe.v1.s00010g10030,-
Nbe.v1.s00010g10040,Aldo/keto reductase family
Nbe.v1.s00010g10050,Belongs to the DHHC palmitoyltransferase family
Nbe.v1.s00010g10060,Belongs to the DHHC palmitoyltransferase family
Nbe.v1.s00010g10080,-
Nbe.v1.s00010g10090,-
Nbe.v1.s00010g10110,Myelodysplasia-myeloid leukemia factor 1-interacting protein
Nbe.v1.s00010g10120,Myelodysplasia-myeloid leukemia factor 1-interacting protein
Nbe.v1.s00010g10130,Inorganic pyrophosphatase
Nbe.v1.s00010g10140,Transporter
Nbe.v1.s00010g10150,disease resistance
Nbe.v1.s00010g10160,methionine sulfoxide reductase
Nbe.v1.s00010g10170,Belongs to the glutamyl-tRNA reductase family
Nbe.v1.s00010g10180,-
Nbe.v1.s00010g10190,GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p
Nbe.v1.s00010g10200,Amidase
Nbe.v1.s00010g10210,Amidase
Nbe.v1.s00010g10230,PB1 domain
Nbe.v1.s00010g10240,Bromodomain extra-terminal - transcription regulation
Nbe.v1.s00010g10250,DNA polymerase phi
Nbe.v1.s00010g10260,DNA polymerase phi
Nbe.v1.s00010g10280,Oligopeptide transporter
Nbe.v1.s00010g10290,-
Nbe.v1.s00010g10320,Legume lectin domain
